Codigo;descricao;TotTam;codigo2;cabecalho;corpo;Peso;EstMinGrade;Deposito;EstMaxGrade;Desc_Local;DescCol;Local;cor;Descor;Faixa;PrecoIten_Valor;qual;qtde;Minimo;CodSped;Dt_Entrada;preco;preco_com;Custo;DescDep;Desc_Malha;Desc_Fio;Desc_Gramatura;Col;Uni_Venda;Desc_Composicao;Ordem;Combinacoes;Grupo;DescGrupo;CodCre;Nome;Marca;Ciclo_Padrao;SalPed;Preco_Medio;Cli_Prod;DescMarca;Custo_Tot_Mat;CodFis;Qtde_Compra;NCM;Lote;descricao2;Barra;Dias;LInha;Desc_Linha;Etiqueta;Desc_etiqueta;Calibre;Calibre_Obs;Cubagem;Desc_Sped;Gramatura;Fio;Malha;Composicao;Unidade;Largura;Sexo;Enderecamento;Rendimento;Ativo;Ciclo;Gramatura_Prod;TotPed;Qualidade;Dt_Fab;Dt_Val;Pantone;Nome_Prod;Tam1;Tam2;Tam3;Tam4;Tam5;Tam6;Tam7;Tam8;Tam9;Tam10;Tam11;Tam12;Tam13;Tam14;Tam15;Tam16;Tam17;Qtd1;Qtd2;Qtd3;Qtd4;Qtd5;Qtd6;Qtd7;Qtd8;Qtd9;Qtd10;Qtd11;Qtd12;Qtd13;Qtd14;Qtd15;Qtd16;Qtd17
"03.095.0002";"PJ MC RAGLAN - SHORT (APLIK FOREVER)";"  3       3       3                                           ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"  3                                                                                                                                                                                                                                                       ";0;"  0                                                                                                                                                                                                                                                       ";"0001";"  0                                                                                                                                                                                                                                                       ";"";"COLECAO SWEET INVERNO/VERAO 2020";"";"0";"UNICA";"03";0;"1";3;0;"04";22/01/2024;44,9;0;0,0001;"COMPOSE - COLECAO ATUAL";"";"";"";"025";"CJ";"";799;"";"03.";"KIDS FEMININO";"";"";"001";0;"";0,0001;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234567955469";793;"01";"SHORT";"095.";"MC RAGLAN ";"";"";"0";"PRODUTO ACABADO";"";"";"";"";"CJ";0;"F";"000000";0;"S";0;0;;"PRIMEIRA";22/01/2024;22/01/2024;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";3;0;0;0;;;;;;;;;;;;;
"03.500.0011";"PJ ML - CALCA LEGGING (TOILET)";"                  1                                         ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"                  1                                                                                                                                                                                                                                       ";0;"                  0                                                                                                                                                                                                                                       ";"0001";"                  0                                                                                                                                                                                                                                       ";"";"COLECAO SWEET INVERNO/VERAO 2020";"";"0";"UNICA";"03";0;"1";1;0;"04";23/01/2024;59,9;0;9,98;"COMPOSE - COLECAO ATUAL";"";"";"";"025";"CJ";"";800;"";"03.";"KIDS FEMININO";"";"";"001";0;"";17,465;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234567964881";792;"04.3";"CALCA LEGGING";"500.";"PJ ML - CALCA MALHA";"";"";"0";"PRODUTO ACABADO";"";"";"";"";"CJ";0;"F";"000000";0;"S";0;0;;"PRIMEIRA";23/01/2024;23/01/2024;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;1;0;;;;;;;;;;;;;
"03.500.0015";"PJ ML - CALCA (CUPCAKE)";"                  1                                         ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"                  1                                                                                                                                                                                                                                       ";0;"                  0                                                                                                                                                                                                                                       ";"0001";"                  0                                                                                                                                                                                                                                       ";"";"COLECAO DOCE FRUTO ALTO VERAO/INVERNO 2021";"";"0";"UNICA";"03";0;"1";1;0;"04";23/01/2024;59,9;0;0,0001;"COMPOSE - COLECAO ATUAL";"";"";"";"027";"CJ";"";801;"";"03.";"KIDS FEMININO";"";"";"001";0;"";0,0001;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234567980225";792;"04";"CALCA";"500.";"PJ ML - CALCA MALHA";"";"";"0";"PRODUTO ACABADO";"";"";"";"";"CJ";0;"F";"000000";0;"S";0;0;;"PRIMEIRA";23/01/2024;23/01/2024;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;1;0;;;;;;;;;;;;;
"03.500.0019";"PJ ML - CALCA LEGGING (FONE)";"          1       1                                          ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"          1                                                                                                                                                                                                                                               ";0;"          0                                                                                                                                                                                                                                               ";"0001";"          0                                                                                                                                                                                                                                               ";"";"COLECAO DOCE FRUTO ALTO VERAO/INVERNO 2021";"";"0";"UNICA";"03";0;"1";1;0;"04";23/01/2024;59,9;0;11,98;"COMPOSE - COLECAO ATUAL";"";"";"";"027";"CJ";"";802;"";"03.";"KIDS FEMININO";"";"";"001";0;"";20,965;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234567978383";792;"04.3";"CALCA LEGGING";"500.";"PJ ML - CALCA MALHA";"";"";"0";"PRODUTO ACABADO";"";"";"";"";"CJ";0;"F";"000000";0;"S";0;0;;"PRIMEIRA";23/01/2024;23/01/2024;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;0;;;;;;;;;;;;;
"03.500.0022";"PJ ML - CALCA C/BARRA ELASTICO (GOOD VIBE)";"          5      12                                           ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"          5       7                                                                                                                                                                                                                                       ";0;"          0       0                                                                                                                                                                                                                                       ";"0001";"          0       0                                                                                                                                                                                                                                       ";"";"COLECAO LOVE LOVE PRIMAVERA/VERAO/INVERNO 2022";"";"0";"UNICA";"03";0;"1";12;0;"04";23/01/2024;69,2;0;33,6698;"COMPOSE - COLECAO ATUAL";"";"";"";"028";"CJ";"";803;"";"03.";"KIDS FEMININO";"";"";"001";0;"";33,8027;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234567989105";792;"04.4";"CALCA BARRA C/ELASTICO";"500.";"PJ ML - CALCA MALHA";"";"";"0";"PRODUTO ACABADO";"";"";"";"";"CJ";0;"F";"000000";0;"S";0;0;;"PRIMEIRA";23/01/2024;23/01/2024;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;5;7;0;;;;;;;;;;;;;
"03.500.0024";"PJ ML - CALCA LEGGING (GATINHOS)";"         10      10                                            ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"         10                                                                                                                                                                                                                                               ";0;"          0                                                                                                                                                                                                                                               ";"0001";"          0                                                                                                                                                                                                                                               ";"";"COLECAO LOVE LOVE PRIMAVERA/VERAO/INVERNO 2022";"";"0";"UNICA";"03";0;"1";10;0;"04";04/03/2024;69,2;0;31,1838;"COMPOSE - COLECAO ATUAL";"";"";"";"028";"CJ";"";804;"";"03.";"KIDS FEMININO";"";"";"001";0;"";32,8948;"";"COMPOSE D'AMOUR";0;"003";0;"61072100";"000000";"23 X 23";"1234567984766";751;"04.3";"CALCA LEGGING";"500.";"PJ ML - CALCA MALHA";"";"";"0";"PRODUTO ACABADO";"";"";"";"";"CJ";0;"F";"000000";0;"S";0;0;;"PRIMEIRA";04/03/2024;04/03/2024;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;10;0;0;;;;;;;;;;;;;
"03.500.0027";"PJ ML - CALCA C/ELASTICO (TENDA)";"          2       2                                          ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"          2                                                                                                                                                                                                                                               ";0;"          0                                                                                                                                                                                                                                               ";"0001";"          0                                                                                                                                                                                                                                               ";"";"COLECAO SONHOS VERAO/ INVERNO 2023";"";"001";"BRANCO";"03";0;"1";2;0;"04";23/01/2024;69,2;0;0;"COMPOSE - COLECAO ATUAL";"";"";"";"030";"CJ";"";805;"";"03.";"KIDS FEMININO";"";"";"001";0;"";0;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234568006771";792;"04.4";"CALCA BARRA C/ELASTICO";"500.";"PJ ML - CALCA MALHA";"";"";"0";"PRODUTO ACABADO";"";"";"";"";"CJ";0;"F";"000000";0;"S";0;0;;"PRIMEIRA";23/01/2024;23/01/2024;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;0;;;;;;;;;;;;;
"03.500.0029";"PJ ML - CALCA BARRA C/ELASTICO (BRILHE)";"                  1                                         ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"                  1                                                                                                                                                                                                                                       ";0;"                  0                                                                                                                                                                                                                                       ";"0001";"                  0                                                                                                                                                                                                                                       ";"";"COLECAO SONHOS VERAO/ INVERNO 2023";"";"177";"ESTRELAS";"03";0;"1";1;0;"04";23/01/2024;69,2;0;0;"COMPOSE - COLECAO ATUAL";"";"";"";"030";"CJ";"";806;"";"03.";"KIDS FEMININO";"";"";"001";0;"";0;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234568006405";792;"04.4";"CALCA BARRA C/ELASTICO";"500.";"PJ ML - CALCA MALHA";"";"";"0";"PRODUTO ACABADO";"";"";"";"";"CJ";0;"F";"000000";0;"S";0;0;;"PRIMEIRA";23/01/2024;23/01/2024;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;1;0;;;;;;;;;;;;;
"03.500.0031";"PJ ML - CALCA LEGGING (PANDA)";"          7      12                                           ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"          7       5                                                                                                                                                                                                                                       ";0;"          0       0                                                                                                                                                                                                                                       ";"0001";"          0       0                                                                                                                                                                                                                                       ";"";"COLECAO SONHOS VERAO/ INVERNO 2023";"";"114";"ROSA CLARO";"03";0;"1";12;0;"04";23/01/2024;69,2;0;0;"COMPOSE - COLECAO ATUAL";"";"";"";"030";"CJ";"";807;"";"03.";"KIDS FEMININO";"";"";"001";0;"";0;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234568006610";792;"04.3";"CALCA LEGGING";"500.";"PJ ML - CALCA MALHA";"";"";"0";"PRODUTO ACABADO";"";"";"";"";"CJ";0;"M";"000000";0;"S";0;0;;"PRIMEIRA";23/01/2024;23/01/2024;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;7;5;0;;;;;;;;;;;;;
"03.500.0037";"PJ ML - CALCA BARRA C/ELASTICO";"          1       2                                          ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"          1       1                                                                                                                                                                                                                                       ";0;"          0       0                                                                                                                                                                                                                                       ";"0001";"          0       0                                                                                                                                                                                                                                       ";"";"COLECAO ACONCHEGO ALTO VERAO / INVERNO 2025";"";"138";"URSINHOS";"03";0;"1";2;0;"";07/03/2025;78,9;0;0;"COMPOSE - COLECAO ATUAL";"";"";"";"034";"CJ";"";808;"";"03.";"KIDS FEMININO";"";"";"001";0;"";0;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234568033364";383;"04.4";"CALCA BARRA C/ELASTICO";"500.";"PJ ML - CALCA MALHA";"";"";"0";"";"";"";"";"";"CJ";0;"M";"000000";0;"S";0;0;;"PRIMEIRA";28/02/2025;28/02/2025;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;1;0;;;;;;;;;;;;;
"03.500.0040";"PJ ML - CALCA BARRA C/ELASTICO";"         37      64      22                                      ";"";"       P       M       G      GG                                                                                                                                                                                                                          ";"         37      27      22                                                                                                                                                                                                                               ";0;"          0       0       0                                                                                                                                                                                                                               ";"0001";"          0       0       0                                                                                                                                                                                                                               ";"";"COLECAO ACONCHEGO ALTO VERAO / INVERNO 2025";"";"001";"BRANCO";"03";0;"1";86;0;"";23/07/2025;78,9;0;0;"COMPOSE - COLECAO ATUAL";"";"";"";"034";"CJ";"";809;"";"03.";"KIDS FEMININO";"";"";"001";0;"";0;"";"COMPOSE D'AMOUR";0;"004";0;"61083100";"000000";"23 X 23";"1234568035764";245;"04.4";"CALCA BARRA C/ELASTICO";"500.";"PJ ML - CALCA MALHA";"";"";"0";"";"";"";"";"";"CJ";0;"M";"000000";0;"S";0;0;;"PRIMEIRA";30/12/1899;30/12/1899;"";"";"P";"M";"G";"GG";"";"";"";"";"";"";"";"";"";"";"";"";"";0;37;27;22;;;;;;;;;;;;;
